Date;no. of Adult males;temperature_mean;relativehumidity_mean
15-giu;1;24,62;45
16-giu;1;26,79;46
17-giu;0;26,02;53
18-giu;1;25,04;48
19-giu;0;25,09;43
20-giu;0;27,95;39
21-giu;0;29,08;30
22-giu;0;28,91;36
23-giu;0;28,88;41
24-giu;0;27,44;41
25-giu;0;26,03;40
26-giu;0;26,69;39
27-giu;0;29,77;36
28-giu;0;27,89;47
29-giu;0;27,13;53
30-giu;0;27,29;43
01-lug;0;28,34;39
02-lug;0;26,33;43
03-lug;0;28,44;43
04-lug;0;29,82;34
05-lug;0;29,17;35
06-lug;0;26,61;51
07-lug;0;25,86;57
08-lug;0;23,11;58
09-lug;0;22,62;47
10-lug;0;24,81;35
11-lug;0;23,35;53
12-lug;0;23,85;50
13-lug;3;25,2;41
14-lug;0;27,66;27
15-lug;2;29,64;31
16-lug;0;27,1;48
17-lug;0;25,7;60
18-lug;1;25,63;54
19-lug;0;26,59;39
20-lug;0;27,42;30
21-lug;0;29,18;26
22-lug;0;30,2;29
23-lug;0;32,41;26
24-lug;0;30,43;38
25-lug;0;30,11;44
26-lug;0;30,22;49
27-lug;0;26,86;69
28-lug;0;26,3;65
29-lug;0;27,89;49
30-lug;0;25,39;64
31-lug;0;26,38;41
01-ago;0;28,18;31
02-ago;0;27,73;42
03-ago;0;27,3;48
04-ago;0;28,52;36
05-ago;0;29,87;31
06-ago;0;29,77;43
07-ago;0;26,27;58
08-ago;0;26,13;53
09-ago;0;25,58;53
10-ago;0;24,43;56
11-ago;0;24,05;58
12-ago;0;24,05;50
13-ago;0;21,9;62
14-ago;0;25,42;36
15-ago;0;27,27;36
16-ago;0;26,58;59
17-ago;0;27,02;52
18-ago;0;26,37;67
19-ago;0;23,41;68
20-ago;0;24,77;53
21-ago;0;25,52;44
22-ago;0;24;52
23-ago;0;23,15;54
24-ago;0;23,03;56
25-ago;0;24,53;55
26-ago;0;26,09;51
27-ago;0;26,56;51
28-ago;2;25,59;56
29-ago;0;24,97;60
30-ago;1;25,67;57
31-ago;0;23,99;68
01-set;0;21,15;77
02-set;0;20,69;66
03-set;0;22,12;58
04-set;0;22,82;66
05-set;0;23,65;63
06-set;0;25,1;53
07-set;6;25,67;54
08-set;0;25,56;61
09-set;4;24,08;57
10-set;3;22,41;64
11-set;0;21,52;66
12-set;3;22,04;53
13-set;2;23,88;47
14-set;0;25,65;52
15-set;0;25,44;56
16-set;0;24,47;58
17-set;0;14,74;81
18-set;6;15,41;48
19-set;0;17,23;43
20-set;0;17,39;55
21-set;0;16,29;60
22-set;0;14,03;64
23-set;2;15,13;57
24-set;0;18,19;50
25-set;2;17,75;73
26-set;0;17,7;77
27-set;3;18,09;59
28-set;1;18,49;61
